timestamp,modo,evento,precio,detalle
2026-07-21 14:54:03,LIVE,ABRE SELL,4087.6,sl 4093.6 tp 4078.6 racha_div 2
2026-07-21 15:22:03,LIVE,NO_FILL,4087.2,SELL market IOC no lleno (sin cambio de balance) — limpio
2026-07-22 08:30:05,LIVE,ABRE SELL,4137.9,sl 4143.9 tp 4128.9 racha_div 2
2026-07-22 08:32:03,LIVE,CIERRE SL,4145.7,SELL entry 4137.9 pnl -64.60 (real)
2026-07-22 08:32:03,LIVE,ABRE SELL,4146.6,sl 4152.6 tp 4137.6 racha_div 4
2026-07-22 08:47:03,LIVE,CIERRE SL,4151.0,SELL entry 4146.6 pnl -65.60 (real)
2026-07-22 09:43:03,LIVE,ABRE BUY,4156.9,sl 4150.9 tp 4165.9 racha_div 2
2026-07-22 09:50:04,LIVE,CIERRE SL,4153.1,BUY entry 4156.9 pnl -61.60 (real)
2026-07-22 11:21:03,LIVE,ABRE SELL,4159.4,sl 4165.4 tp 4150.4 racha_div 2
2026-07-22 11:37:03,LIVE,CIERRE TP,4150.9,SELL entry 4159.4 pnl +88.40 (real)
2026-07-23 02:32:02,LIVE,ABRE BUY,4106.3,sl 4100.3 tp 4115.3 racha_div 2
2026-07-23 02:43:02,LIVE,CIERRE SL,4097.1,BUY entry 4106.3 pnl -61.60 (real)
2026-07-23 02:45:02,LIVE,ABRE BUY,4098.4,sl 4092.4 tp 4107.4 racha_div 2
2026-07-23 03:11:02,LIVE,CIERRE TIME(26m),4098.0,BUY entry 4098.4 pnl +4.40 (real)
2026-07-23 03:43:02,LIVE,ABRE BUY,4093.4,sl 4087.4 tp 4102.4 racha_div 2
2026-07-23 04:09:02,LIVE,CIERRE TIME(26m),4100.4,BUY entry 4093.4 pnl +63.40 (real)
2026-07-23 04:17:02,LIVE,ABRE BUY,4097.8,sl 4091.8 tp 4106.8 racha_div 2
2026-07-23 04:31:02,LIVE,CIERRE SL,4092.4,BUY entry 4097.8 pnl -60.60 (real)
2026-07-23 04:33:02,LIVE,ABRE BUY,4092.5,sl 4086.5 tp 4101.5 racha_div 2
2026-07-23 04:59:02,LIVE,CIERRE TIME(26m),4092.0,BUY entry 4092.5 pnl -0.60 (real)
2026-07-23 05:21:02,LIVE,ABRE BUY,4091.9,sl 4085.9 tp 4100.9 racha_div 2
2026-07-23 05:47:02,LIVE,CIERRE TIME(26m),4090.8,BUY entry 4091.9 pnl -14.60 (real)
2026-07-23 05:48:02,LIVE,ABRE BUY,4092.9,sl 4086.9 tp 4101.9 racha_div 2
2026-07-23 06:14:02,LIVE,CIERRE TIME(26m),4090.8,BUY entry 4092.9 pnl -19.60 (real)
2026-07-23 09:00:02,LIVE,ABRE BUY,4045.7,sl 4039.7 tp 4054.7 racha_div 2
2026-07-23 09:25:02,LIVE,CIERRE TP,4055.0,BUY entry 4045.7 pnl +89.40 (real)
2026-07-23 09:32:02,LIVE,ABRE SELL,4059.0,sl 4065.0 tp 4050.0 racha_div 2
2026-07-23 09:58:02,LIVE,CIERRE TIME(26m),4062.2,SELL entry 4059.0 pnl -16.60 (real)
2026-07-24 02:51:03,LIVE,SKIP_CALMA,4050.2,BUY sin expansion (cumdelta_mom 21<150)
2026-07-24 02:55:03,LIVE,SKIP_CALMA,4050.4,SELL sin expansion (cumdelta_mom 19<150)
2026-07-24 02:56:03,LIVE,SKIP_CALMA,4051.1,SELL sin expansion (cumdelta_mom 12<150)
2026-07-24 03:03:03,LIVE,SKIP_CALMA,4049.4,BUY sin expansion (cumdelta_mom 6<150)
2026-07-24 03:04:03,LIVE,SKIP_CALMA,4049.4,BUY sin expansion (cumdelta_mom 26<150)
2026-07-24 04:27:03,LIVE,SKIP_CALMA,4058.1,SELL sin expansion (cumdelta_mom 70<150)
2026-07-24 04:28:03,LIVE,SKIP_CALMA,4057.6,SELL sin expansion (cumdelta_mom 66<150)
2026-07-24 04:36:03,LIVE,SKIP_CALMA,4056.4,SELL sin expansion (cumdelta_mom 87<150)
2026-07-24 04:37:03,LIVE,SKIP_CALMA,4056.8,SELL sin expansion (cumdelta_mom 48<150)
2026-07-24 04:59:03,LIVE,SKIP_CALMA,4062.1,SELL sin expansion (cumdelta_mom 3<150)
2026-07-24 05:00:04,LIVE,SKIP_CALMA,4062.6,SELL sin expansion (cumdelta_mom 61<150)
2026-07-24 05:01:03,LIVE,SKIP_CALMA,4062.0,SELL sin expansion (cumdelta_mom 12<150)
2026-07-24 05:12:03,LIVE,SKIP_CALMA,4061.8,SELL sin expansion (cumdelta_mom 12<150)
2026-07-24 05:15:03,LIVE,SKIP_CALMA,4061.1,BUY sin expansion (cumdelta_mom 10<150)
2026-07-24 05:16:03,LIVE,SKIP_CALMA,4061.9,BUY sin expansion (cumdelta_mom 21<150)
2026-07-24 05:17:03,LIVE,SKIP_CALMA,4062.3,BUY sin expansion (cumdelta_mom 23<150)
2026-07-24 05:36:03,LIVE,SKIP_CALMA,4063.9,BUY sin expansion (cumdelta_mom 115<150)
2026-07-24 06:02:03,LIVE,SKIP_CALMA,4062.9,SELL sin expansion (cumdelta_mom 22<150)
2026-07-24 06:03:03,LIVE,SKIP_CALMA,4061.9,SELL sin expansion (cumdelta_mom 0<150)
2026-07-24 06:25:03,LIVE,SKIP_CALMA,4063.8,SELL sin expansion (cumdelta_mom 4<150)
2026-07-24 07:10:03,LIVE,SKIP_CALMA,4058.9,SELL sin expansion (cumdelta_mom 16<150)
2026-07-24 10:37:03,LIVE,SKIP_CALMA,4078.7,BUY sin expansion (cumdelta_mom 4<150)
2026-07-27 02:21:02,LIVE,ABRE SELL,4105.8,sl 4111.8 tp 4096.8 racha_div 2 exp_mom 10
2026-07-27 02:47:02,LIVE,CIERRE TIME(26m),4100.4,SELL entry 4105.8 pnl +55.40 (real)
2026-07-27 02:59:02,LIVE,ABRE BUY,4092.6,sl 4086.6 tp 4101.6 racha_div 2 exp_mom 43
2026-07-27 03:25:02,LIVE,CIERRE TIME(26m),4092.9,BUY entry 4092.6 pnl +0.40 (real)
2026-07-27 03:32:02,LIVE,ABRE BUY,4091.9,sl 4085.9 tp 4100.9 racha_div 2 exp_mom 20
2026-07-27 03:58:02,LIVE,CIERRE TIME(26m),4098.5,BUY entry 4091.9 pnl +48.40 (real)
2026-07-27 03:58:02,LIVE,ABRE SELL,4098.4,sl 4104.4 tp 4089.4 racha_div 2 exp_mom 92
2026-07-27 04:24:02,LIVE,CIERRE TIME(26m),4094.5,SELL entry 4098.4 pnl +20.40 (real)
2026-07-27 04:58:02,LIVE,ABRE SELL,4100.4,sl 4106.4 tp 4091.4 racha_div 2 exp_mom 138
2026-07-27 05:12:02,LIVE,CIERRE TP,4090.7,SELL entry 4100.4 pnl +88.40 (real)
2026-07-27 05:43:02,LIVE,ABRE SELL,4103.4,sl 4109.4 tp 4094.4 racha_div 2 exp_mom 117
2026-07-27 06:09:02,LIVE,CIERRE TIME(26m),4105.1,SELL entry 4103.4 pnl +24.40 (real)
2026-07-27 06:21:02,LIVE,ABRE BUY,4103.2,sl 4097.2 tp 4112.2 racha_div 2 exp_mom 8
2026-07-27 06:44:02,LIVE,CIERRE SL,4098.4,BUY entry 4103.2 pnl -61.60 (real)
2026-07-27 07:52:02,LIVE,ABRE BUY,4086.6,sl 4080.6 tp 4095.6 racha_div 2 exp_mom 191
2026-07-27 08:18:02,LIVE,CIERRE TIME(26m),4083.6,BUY entry 4086.6 pnl -15.60 (real)
2026-07-27 08:19:02,LIVE,ABRE BUY,4085.8,sl 4079.8 tp 4094.8 racha_div 2 exp_mom 5
2026-07-27 08:29:02,LIVE,CIERRE SL,4079.2,BUY entry 4085.8 pnl -73.60 (real)
2026-07-28 02:26:02,LIVE,ABRE BUY,4051.8,sl 4045.8 tp 4060.8 racha_div 2 exp_mom 21
2026-07-28 02:52:02,LIVE,CIERRE TIME(26m),4048.4,BUY entry 4051.8 pnl -24.60 (real)
2026-07-28 03:18:02,LIVE,ABRE SELL,4047.3,sl 4053.3 tp 4038.3 racha_div 2 exp_mom 91
